CLADE NAME: CLADE_2
MIN REGION LEN: 4
CONSENSUS: 0.9

ID	 Pos	 Len	 PhysicoChemical property
1	 29	 9	 FNFPNF-FFF
2	 72	 8	 HHHFHPHN
3	 81	 11	 HFFFHHNPHFH
4	 104	 6	 FFFHHH
5	 113	 6	 HFHFHH
6	 128	 14	 FFFFFNHNFNNFHF
7	 146	 13	 HFPNFPFHNHHFP
8	 167	 22	 PFHFFNPFPFNNHHFHHFHFNN
9	 197	 19	 FPFFFFHPHPFHHFHHHFH
10	 217	 16	 HFNNFPFNNHPFHHFH
11	 234	 45	 PFFPHFHHFPPFFFNHHFFFHHPFFNNHFHPFHHFHNFHFFPHHF
12	 295	 4	 FHNH
13	 316	 17	 PFNFHHHHFHHFHPHFF
14	 341	 14	 FFFPHHHFFHHHHF
15	 356	 6	 FFPNFF
16	 368	 6	 FHFPHF
17	 377	 6	 HHNPFP
18	 384	 7	 FFFPNFH
19	 393	 4	 FNNH
20	 430	 11	 HHHHHHFFHF--------P
21	 450	 5	 PPH--------------HF
22	 517	 10	 HFPFHFFPFH
23	 528	 12	 HHFFHHFHNHFF
24	 546	 4	 FFFH
25	 557	 8	 FFFHFFHF
26	 591	 5	 HFHFP
27	 627	 10	 FHFFHFFHHF
28	 642	 5	 FFFFF
29	 649	 4	 FHFF
30	 684	 18	 NNFFNHHHPPNHHFFNFP
31	 706	 4	 HFHF
32	 730	 9	 FPHFFHHHH
